# No Test productions

# General-purpose
LHC17i4_2,         p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC15i, extra statistics
LHC18a9,           p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC17o
LHC18a8,           p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC17l
LHC18a1,           p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC17r
LHC17l5,           p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC17m
LHC17k4,           p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC17i
LHC17i4,           p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC15i
LHC17h11,          p-p, 13 TeV, General-purpose Monte Carlo production anchored to LHC17j


# EPOS LHC
LHC17d20b2,       p-p, 13 TeV, updated EPOS-LHC general-purpose Monte Carlo production, LHC16l
LHC17d20b1,       p-p, 13 TeV, updated EPOS-LHC general-purpose Monte Carlo production, LHC16k
LHC16d3,          p-p, 13 TeV, General-purpose Monte Carlo production anchored to p-p 13 TeV runs (LHC15f, EPOS-LHC)
LHC16a2d2_plus,   p-p, 13 TeV, EPOS-LHC for runs near the VdM scan (AD hits), LHC15h anchor
LHC16a2d2,        p-p, 13 TeV, EPOS-LHC for runs near the VdM scan (new), LHC15h anchor

# Single particle productions
LHC17j3c2,        p-p, 13 TeV, Single particle generator for PHOS anchored to LHC15g-p, eta high pt
LHC17j3c1,        p-p, 13 TeV, Single particle generator for PHOS anchored to LHC15g-p, eta low pt
LHC17j3b2,        p-p, 13 TeV, Single particle generator for PHOS anchored to LHC15g-p, pi0 high pt
LHC17j3b1,        p-p, 13 TeV, Single particle generator for PHOS anchored to LHC15g-p, pi0 low pt
LHC17j3a2,        p-p, 13 TeV, Single particle generator for PHOS anchored to LHC15g-p, gamma high pt
LHC17j3a1,        p-p, 13 TeV, Single particle generator for PHOS anchored to LHC15g-p, gamma low pt
LHC17g2a,         p-p, 13 TeV, Single muon MC anchored to LHC16k, new
LHC17g1a,         p-p, 13 TeV, Single muon MC anchored to LHC16o
LHC18c1,          p-p, 13 TeV, single muon MC anchored to LHC16fghijkop


# Jet-Jet
LHC17f8f,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16k
LHC17f8k,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16p
LHC17f8j,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16h
LHC17f8i,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16e
LHC17f8h,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16d
LHC17f8g,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16i
LHC17f8e,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16o
LHC17f8d,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16j
LHC17f8c,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16g
LHC17f8b,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16f
LHC17f8a,         p-p, 13 TeV, Pythia8 - JJ events anchored to LHC16l
LHC17i3c2,        p-p, 13 TeV, JJ events triggered by decay photons with at least 7 GeV/c in DCal+PHOS, 2016 anchors
LHC17i3c1,        p-p, 13 TeV, JJ events triggered by decay photons with at least 7 GeV/c in EMCal, 2016 anchors
LHC17i3b2,        p-p, 13 TeV, JJ events triggered by decay photons with at least 3.5 GeV/c in DCal+PHOS, 2016 anchors
LHC17i3b1,        p-p, 13 TeV, JJ events triggered by decay photons with at least 3.5 GeV/c in EMCal, 2016 anchors


# Monash
LHC17d20a2_extra, p-p, 13 TeV, Pythia8(Monash2013) new general-purpose Monte Carlo production, LHC16l, extra statistics
LHC17d20a1_extra, p-p, 13 TeV, Pythia8(Monash2013) new general-purpose Monte Carlo production, LHC16k, extra statistics
LHC17d20a2,       p-p, 13 TeV, Pythia8(Monash2013) new general-purpose Monte Carlo production, LHC16l
LHC17d20a1,       p-p, 13 TeV, Pythia8(Monash2013) new general-purpose Monte Carlo production, LHC16k
LHC16i4b,         p-p, 13 TeV, Pythia8(Monash2013) strangeness enhanced Monte Carlo production, LHC16l
LHC16i4a,         p-p, 13 TeV, Pythia8(Monash2013) strangeness enhanced Monte Carlo production, LHC16k
LHC16a2b2_plus,   p-p, 13 TeV, Pythia8(Monash2013) for runs near the VdM scan (new) plus AD, VZERO hits, LHC15h anchor
LHC16a2b2,        p-p, 13 TeV, Pythia8(Monash2013) for runs near the VdM scan (new), LHC15h anchor
LHC16b3d,         p-p, 13 TeV, Tracklets-Muon Monte Carlo, PYTHIA8 Monash2013, LHC15h anchors
LHC16b3c,         p-p, 13 TeV, Tracklets-Muon Monte Carlo, PYTHIA8 Monash2013, LHC15l anchors
LHC16b3b,         p-p, 13 TeV, Tracklets-Muon Monte Carlo, PYTHIA8 Monash2013, LHC15j anchors
LHC16b3a,         p-p, 13 TeV, Tracklets-Muon Monte Carlo, PYTHIA8 Monash2013, LHC15i anchors
LHC15g3a3,        p-p, 13 TeV, again PYTHIA8 Monash2013, LHC15f anchors
LHC15g3a2,        p-p, 13 TeV, 2nd PYTHIA8 Monash2013, LHC15f anchors

# General-purpose with nominal B
LHC17d18,          p-p, 13 TeV, General-purpose Monte Carlo productions anchored to LHC16p (nominal B field, p-p 13 TeV)
LHC17d17,          p-p, 13 TeV, General-purpose Monte Carlo productions anchored to LHC16g (nominal B field, p-p 13 TeV)
LHC17d16,          p-p, 13 TeV, General-purpose Monte Carlo productions anchored to LHC16o (nominal B field, p-p 13 TeV)
LHC17d3,           p-p, 13 TeV, General-purpose Monte Carlo productions anchored to LHC16i (nominal B field, p-p 13 TeV)
LHC17d18_extra,    p-p, 13 TeV, General-purpose Monte Carlo productions - extra statistics - anchored to LHC16p (nominal B field, p-p 13 TeV)
LHC17d17_extra,    p-p, 13 TeV, General-purpose Monte Carlo productions - extra statistics - anchored to LHC16g (nominal B field, p-p 13 TeV)
